"Statistic Label","Quarter","Economic Sector NACE Rev 2","Type of Employee","UNIT","VALUE"
"Average Weekly Earnings (Seasonally Adjusted)","2016Q2","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2016Q2","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2016Q3","Construction (F)","All employees","Euro","735.81"
"Average Weekly Earnings (Seasonally Adjusted)","2016Q3","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2016Q3","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2016Q3","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2016Q4","Construction (F)","All employees","Euro","733.65"
"Average Weekly Earnings (Seasonally Adjusted)","2016Q4","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2016Q4","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2016Q4","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2017Q1","Construction (F)","All employees","Euro","748.09"
"Average Weekly Earnings (Seasonally Adjusted)","2017Q1","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2017Q1","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2017Q1","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2017Q2","Construction (F)","All employees","Euro","732.19"
"Average Weekly Earnings (Seasonally Adjusted)","2017Q2","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2017Q2","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2017Q2","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2017Q3","Construction (F)","All employees","Euro","739.32"
"Average Weekly Earnings (Seasonally Adjusted)","2017Q3","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2017Q3","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2017Q3","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2017Q4","Construction (F)","All employees","Euro","733.68"
"Average Weekly Earnings (Seasonally Adjusted)","2017Q4","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2017Q4","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2017Q4","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2018Q1","Construction (F)","All employees","Euro","770.45"
"Average Weekly Earnings (Seasonally Adjusted)","2018Q1","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2018Q1","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2018Q1","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2018Q2","Construction (F)","All employees","Euro","768.61"
"Average Weekly Earnings (Seasonally Adjusted)","2018Q2","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2018Q2","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2018Q2","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2018Q3","Construction (F)","All employees","Euro","794.99"
"Average Weekly Earnings (Seasonally Adjusted)","2018Q3","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2018Q3","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2018Q3","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2018Q4","Construction (F)","All employees","Euro","781.63"
"Average Weekly Earnings (Seasonally Adjusted)","2018Q4","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2018Q4","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2018Q4","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2019Q1","Construction (F)","All employees","Euro","775.89"
"Average Weekly Earnings (Seasonally Adjusted)","2019Q1","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2019Q1","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2019Q1","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2019Q2","Construction (F)","All employees","Euro","802.83"
"Average Weekly Earnings (Seasonally Adjusted)","2019Q2","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2019Q2","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2019Q2","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2019Q3","Construction (F)","All employees","Euro","802.92"
"Average Weekly Earnings (Seasonally Adjusted)","2019Q3","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2019Q3","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2019Q3","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2019Q4","Construction (F)","All employees","Euro","819.5"
"Average Weekly Earnings (Seasonally Adjusted)","2019Q4","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2019Q4","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2019Q4","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2020Q1","Construction (F)","All employees","Euro","845.82"
"Average Weekly Earnings (Seasonally Adjusted)","2020Q1","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2020Q1","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2020Q1","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2020Q2","Construction (F)","All employees","Euro","780.23"
"Average Weekly Earnings (Seasonally Adjusted)","2020Q2","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2020Q2","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2020Q2","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2020Q3","Construction (F)","All employees","Euro","816.9"
"Average Weekly Earnings (Seasonally Adjusted)","2020Q3","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2020Q3","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2020Q3","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2020Q4","Construction (F)","All employees","Euro","864.27"
"Average Weekly Earnings (Seasonally Adjusted)","2020Q4","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2020Q4","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2020Q4","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2021Q1","Construction (F)","All employees","Euro","822.62"
"Average Weekly Earnings (Seasonally Adjusted)","2021Q1","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2021Q1","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2021Q1","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2021Q2","Construction (F)","All employees","Euro","844.24"
"Average Weekly Earnings (Seasonally Adjusted)","2021Q2","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2021Q2","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2021Q2","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2021Q3","Construction (F)","All employees","Euro","868.98"
"Average Weekly Earnings (Seasonally Adjusted)","2021Q3","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2021Q3","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2021Q3","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2021Q4","Construction (F)","All employees","Euro","890.21"
"Average Weekly Earnings (Seasonally Adjusted)","2021Q4","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings (Seasonally Adjusted)","2021Q4","Construction (F)","Clerical, sales and service employees","Euro",""
